ID,NMDS1,NMDS2,site
GHE002,-0.48138583,1.11556127,SD
GHE003,-1.28166599,-0.1940552,UD
GHE004,0.69636842,-0.29916729,MD
GHE005,0.37883562,0.482585837,SD
GHE006,-0.9638041,0.347983231,UD
GHE007,1.42181322,-0.193967595,MD
GHE008,-0.79165758,0.354441943,SD
GHE009,-0.94530791,0.10889552,UD
GHE010,1.36647386,-0.094688063,MD
GHE013,0.04084615,0.569407519,SD
GHE015,1.10421563,0.028959583,MD
GHE017,-1.27718251,-0.01577459,UD
GHE018,0.85335506,-0.122949449,MD
GHE019,-0.04426702,0.282608367,SD
GHE023,0.39138256,0.231113677,SD
GHE024,1.28918855,-0.203474271,MD
GHE026,0.25171795,0.287575277,SD
GHE027,1.3079004,-0.06766172,MD
GHe028,-1.1022631,-0.053895427,UD
GHE029,-0.0152102,0.340481674,SD
GHE030,1.39896777,-0.106632529,MD
GHE031,-1.12260043,0.145440069,UD
GHE034,1.52311432,-0.113751112,MD
GHE035,0.33520309,0.394587221,SD
GHE038,1.45253175,-0.241268502,MD
GHE039,-0.63715213,0.616083288,SD
GHE041,1.33379534,-0.141327818,MD
GHE044,1.04977756,-0.086755464,MD
GHE045,0.03207347,0.12877237,SD
GHE047,1.22119079,-0.178467919,MD
GHE049,1.38106499,-0.033410135,MD
GHE052,1.4063736,-0.152207693,MD
GHE053,0.1549095,0.465425713,SD
GHE055,-1.31909399,-0.832803061,UD
GHE075,1.43429334,-0.100457321,MD
GHE076,-0.66973016,-0.26081134,SD
GHE077,-1.2418826,-0.092793338,UD
GHE078,-1.21817429,0.008395061,UD
GHE079,-1.22749709,-0.268089626,UD
GHE080,-1.20319987,-0.170472748,UD
GHE081,-1.34596652,-0.432086183,UD
GHE083,-0.56067526,-0.598284633,UD
GHE084,-0.97504635,0.05753234,UD
GHE085,-0.98338916,-0.198188116,UD
GHE087,-0.797692,-0.825198524,UD
GHE088,-0.81335201,-0.040933003,SD
GHE089,-0.80719685,0.15372271,SD